Barrel Inn	/images/building/barrel_inn.png		
Cream Root Beer	/images/product/barrel_inn/cream_root_beer.png	2h 30m	10 Biscuit Flour, 1 Happy Planter
Redberry Juice	/images/product/barrel_inn/redberry_juice.png	6h 30m	12 Jellyberry, 1 Bear Jelly Toy
Vintage Root Bottle	/images/product/barrel_inn/vintage_root_bottle.png	8h	50 Roll Cake, 1 Spooky Muffin
			
Maison du Cake	/images/building/maison_du_cake.png		
Spooky Muffin	/images/product/maison_du_cake/spooky_muffin.png	3h30m	12 Biscuit Flour, 7 Milk
Strawberry Cake	/images/product/maison_du_cake/strawberry_cake.png	6h	14 Biscuit Flour, 2 Bubbly Boba
Party Cake	/images/product/maison_du_cake/party_cake.png	8h	18 Biscuit Flour, 2 Homemade Cheese
			
Jewelry Salon	/images/building/jewelry_salon.png		
Glazed Ring	/images/product/jewelry_salon/glazed_ring.png	4h30m	12 Biscuit Flour, 1 Fluffy Castella
Rubyberry Brooch	/images/product/jewelry_salon/rubyberry_brooch.png	7h	16 Jellyberry, 1 Swan Feather Dreamcatcher
Bear Jelly Crown	/images/product/jewelry_salon/bear_jelly_crown.png	7h30m	3 Cotton Candy Wool, 1 Bell-Flower Bouquet
